"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"252273677","10/08/2022","01:13:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001562","239443","40.823875","-73.937448"
"265339107","03/18/2023","15:45:00","MANHATTAN","OUTSIDE","32","0","STREET",,"997995","235238","40.812339","-73.950343"
"264366464","02/28/2023","02:06:00","MANHATTAN","INSIDE","32","0","DWELLING","MULTI DWELL - APT BUILD","1000489","236574","40.816002","-73.941332"
"173961272","01/24/2018","00:27:00","MANHATTAN","OUTSIDE","33","0","STREET",,"999253","244178","40.836884","-73.945781"
"88098652","12/12/2012","02:41:00","MANHATTAN","INSIDE","33","0","DWELLING","MULTI DWELL - APT BUILD","1002251","248116","40.847687","-73.934934"
"80803625","09/17/2011","01:11:00","MANHATTAN","INSIDE","33","0","COMMERCIAL","GROCERY/BODEGA","999309","242803","40.83311","-73.945581"
"54858241","12/13/2008","02:00:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000461","244881","40.838811","-73.941414"
"33635417","08/07/2007","21:33:00","MANHATTAN","OUTSIDE","33","0","STREET",,"999625","244125","40.836738","-73.944436"
"255042633","12/03/2022","10:21:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1001891","245600",,
"233253729","09/07/2021","21:07:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000139","244880","40.8388","-73.942577"
"218120540","09/20/2020","23:14:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000886","245160","40.8395671","-73.93987719"
"192978312","01/31/2019","00:15:00","MANHATTAN","OUTSIDE","33","0","VEHICLE",,"1000022","243161","40.834092","-73.943003"
"190699068","12/03/2018","00:45:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1000163","247425","40.845796","-73.942485"
"186368662","08/13/2018","01:41:00","MANHATTAN","OUTSIDE","33","0","PLAYGROUND",,"1001853","244535","40.83784978","-73.93638407"
"267930503","05/08/2023","05:35:00","MANHATTAN","OUTSIDE","34","0","COMMERCIAL","BAR/NIGHT CLUB","1006513","253947","40.863675","-73.919511"
"145924872","09/05/2015","00:10:00","MANHATTAN","OUTSIDE","34","0","PLAYGROUND",,"1006128","256207","40.86987638","-73.92089646"
"81100085","10/09/2011","02:47:00","MANHATTAN","OUTSIDE","34","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1005800","252652","40.860121","-73.922092"
"79970478","07/25/2011","02:20:00","MANHATTAN","OUTSIDE","34","0","STREET","BAR/NIGHT CLUB","1002776","248608","40.849028","-73.933034"
"37371248","12/30/2007","20:23:00","MANHATTAN","OUTSIDE","34","0","STREET",,"1002594","248079","40.847585","-73.933698"
"49514586","07/29/2008","23:09:00","MANHATTAN","OUTSIDE","34","0","STREET",,"1004867","253093","40.861333","-73.925465"
"47515487","06/24/2008","16:40:00","MANHATTAN","INSIDE","34","0","DWELLING","MULTI DWELL - APT BUILD","1003876","252295","40.859153","-73.929049"
"247502494","07/03/2022","03:43:00","MANHATTAN","OUTSIDE","5","0","STREET","BAR/NIGHT CLUB","986081","202318","40.721994","-73.993394"
"51935028","10/03/2008","01:18:00","MANHATTAN","INSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","985236","197939","40.709983","-73.996443"
"86877083","09/22/2012","21:24:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","985320","197762","40.709489","-73.996139"
"213747896","06/01/2020","00:30:00","MANHATTAN","OUTSIDE","5","0","STREET",,"984952","202783","40.72328","-73.997468"
"198705943","06/19/2019","10:40:00","MANHATTAN","INSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","984021","198160","40.710589","-74.000827"
"184396806","06/23/2018","23:35:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","984474","198615","40.711838","-73.999191"
"310820656","08/06/2025","14:00:00","MANHATTAN","OUTSIDE","6","0","STREET",,"981302","205042","40.729478","-74.010637"
"243770731","04/17/2022","04:15:00","MANHATTAN","OUTSIDE","7","0","STREET","RESTAURANT/DINER","987753","201996","40.721109","-73.987359"
"88421874","01/04/2013","21:10:00","MANHATTAN","OUTSIDE","7","0","STREET",,"989797","200696","40.71753911","-73.97998974"
"197660694","05/25/2019","00:12:00","MANHATTAN","OUTSIDE","7","0","STREET",,"988660","200229","40.716267","-73.984093"
"199728579","07/13/2019","02:45:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","990345","201948","40.720984","-73.978011"
"67605366","11/07/2009","23:00:00","MANHATTAN","INSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987496","203963","40.7265156408","-73.98829024376"
"48570133","07/24/2008","08:15:00","MANHATTAN","OUTSIDE","9","0","STREET",,"990439","202897","40.723588","-73.97767"
"80576265","09/03/2011","03:47:00","MANHATTAN","OUTSIDE","9","0","STREET","RESTAURANT/DINER","987650","203138","40.724244","-73.987731"
"312144301","08/31/2025","03:36:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","990950","202338","40.722055","-73.975829"
"244442668","04/29/2022","09:00:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989420","202605","40.72278","-73.981345"
"215225154","07/12/2020","02:28:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989420","202605","40.722788","-73.981346"
"199134405","06/30/2019","04:24:00","MANHATTAN","OUTSIDE","10","2","HOUSING","MULTI DWELL - PUBLIC HOUS","982756","210139","40.74347","-74.005392"
"47024512","05/05/2008","04:10:00","MANHATTAN","OUTSIDE","10","0","STREET",,"984212","209053","40.740489","-74.000135"
"48395043","07/16/2008","18:10:00","MANHATTAN","OUTSIDE","10","2","HOUSING","MULTI DWELL - PUBLIC HOUS","983737","212230","40.749208","-74.00185"
"23354077","07/02/2006","04:35:00","MANHATTAN","OUTSIDE","10","0","STREET",,"983209","212815","40.750815","-74.003756"
"248480012","07/23/2022","16:48:00","MANHATTAN","OUTSIDE","13","0","STREET",,"989616","208972","40.740256","-73.980633"
"10879224","04/01/2006","03:47:00","MANHATTAN","OUTSIDE","13","0","STREET",,"986109","210621","40.744792","-73.993291"
"50589212","08/26/2008","23:00:00","MANHATTAN","OUTSIDE","13","0","STREET",,"990644","208552","40.739103","-73.976924"
"74895036","10/04/2010","03:57:00","MANHATTAN","OUTSIDE","13","0","STREET",,"987279","208187","40.738111","-73.98907"
"140697169","01/25/2015","14:43:00","MANHATTAN","INSIDE","13","0","COMMERCIAL","CHAIN STORE","986691","209690","40.742237","-73.991191"
"229995493","06/23/2021","23:18:00","MANHATTAN","OUTSIDE","13","0","STREET",,"988886","207857","0","0"
"281933972","02/08/2024","19:06:00","MANHATTAN","OUTSIDE","14","0","STREET",,"987984","214497","40.75543","-73.986523"
"72077238","04/05/2010","00:08:00","MANHATTAN","OUTSIDE","14","0","STREET",,"987335","214697","40.755979","-73.988863"
"234482341","10/04/2021","12:10:00","MANHATTAN","OUTSIDE","14","1","TRANSIT",,"987605","214252","40.75474808","-73.9878904"
"223819780","02/01/2021","01:15:00","MANHATTAN","OUTSIDE","14","0","STREET",,"987215","215403","40.75790742","-73.98929757"
"203676929","10/13/2019","01:55:00","MANHATTAN","OUTSIDE","17","0","STREET",,"990800","210373","40.74409942","-73.9763621"
"305637549","04/30/2025","04:47:00","MANHATTAN","OUTSIDE","18","0","STREET",,"988511","215874","40.75919967","-73.98461925"
"54059281","11/15/2008","14:21:00","MANHATTAN","INSIDE","18","0","COMMERCIAL","JEWELRY STORE","991394","215025","40.756876","-73.974212"
"25260905","11/12/2006","04:32:00","MANHATTAN","OUTSIDE","18","0","STREET",,"988451","217993",,
"237368135","12/05/2021","03:58:00","MANHATTAN","OUTSIDE","19","0","STREET","HOSPITAL","995144","221262","40.773983","-73.960666"
"249207672","08/08/2022","04:20:00","MANHATTAN","OUTSIDE","20","0","STREET",,"989132","222591","40.777638","-73.982369"
"235636165","10/28/2021","15:45:00","MANHATTAN","OUTSIDE","20","0","STREET",,"988801","222923","40.778549","-73.983566"
"230193607","06/28/2021","20:50:00","MANHATTAN","OUTSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987917","221312","40.774128","-73.986758"
"217368571","09/02/2020","20:57:00","MANHATTAN","INSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","988187","220870","40.772915","-73.985785"
"221025255","11/26/2020","11:42:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.78845","-73.939372"
"33535835","08/03/2007","16:13:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001212","229173","40.795695","-73.938738"
"29338472","05/30/2007","21:00:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000776","227613","40.791414","-73.940319"
"32155715","06/07/2007","04:30:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"74989385","10/09/2010","02:09:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998958","227092","40.789982","-73.946882"
"73433694","06/28/2010","23:02:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001932","228925","40.795013","-73.936138"
"74054027","08/08/2010","23:00:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999452","228508","40.793874","-73.945096"
"66170351","09/26/2009","02:35:00","MANHATTAN","OUTSIDE","23","0","STREET",,"997143","226448","40.788225","-73.953441"
"54579986","12/02/2008","22:10:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1002308","228866","40.794852","-73.934781"
"144479293","07/13/2015","23:18:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000777","226841","40.789296","-73.940314"
"93499462","11/09/2013","01:11:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997559","226670","40.788833","-73.951938"
"87914831","12/01/2012","15:52:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997559","226670","40.788824","-73.951937"
"84829751","05/19/2012","18:30:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1002182","228644","40.794233","-73.935234"
"84021527","04/03/2012","16:30:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998299","228536","40.793952","-73.949262"
"80881468","09/25/2011","16:08:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999860","226734","40.788997","-73.943628"
"82623274","01/13/2012","14:47:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998384","227109","40.790028","-73.948957"
"79570906","06/25/2011","23:45:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000213","228833","40.79475532","-73.94234826"
"230311078","07/01/2021","23:07:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999192","230148","40.798369","-73.94603"
"192545747","01/19/2019","19:30:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998810","229459","40.796485","-73.947412"
"174817652","02/15/2018","02:08:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"182968550","05/21/2018","21:40:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998683","229230","40.795857","-73.947872"
"167194619","07/19/2017","02:00:00","MANHATTAN","OUTSIDE","23","0","PLAYGROUND",,"1001491","228127","40.79281514","-73.93773446"
"158263711","11/05/2016","23:35:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000776","227613","40.791414","-73.940319"
"302892958","03/16/2025","02:20:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998430","228773","40.794604","-73.948786"
"148512175","12/13/2015","16:00:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001026","228838","40.794778","-73.939411"
"315703883","11/05/2025","23:56:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1001995","229037","40.79531185","-73.93591187"
"313852333","10/02/2025","16:08:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999154","226675","40.788844","-73.946176"
"261968807","01/13/2023","22:12:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997937","227357","40.79071","-73.950569"
"263891837","02/18/2023","21:10:00","MANHATTAN","OUTSIDE","23","0","STREET","MULTI DWELL - APT BUILD","1000776","227613","40.791406","-73.940318"
"247524803","07/04/2022","05:19:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998299","228536","40.793944","-73.949261"
"231089375","07/19/2021","21:01:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999358","226562","40.788526","-73.945439"
"231969566","08/08/2021","09:29:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1000776","227613","40.791406","-73.940318"
"228307363","05/17/2021","21:34:00","MANHATTAN","OUTSIDE","23","0","STREET",,"1001364","227898","40.79218684","-73.93819371"
"230234499","06/29/2021","19:40:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000086","229653","40.797008","-73.942802"
"290794420","07/28/2024","23:30:00","MANHATTAN","OUTSIDE","24","0","HOUSING","MULTI DWELL - PUBLIC HOUS","993952","229422","40.79639","-73.964959"
"63214333","06/28/2009","19:30:00","MANHATTAN","OUTSIDE","24","2","HOUSING","MULTI DWELL - PUBLIC HOUS","992079","226968","40.789656","-73.971725"
"215133413","07/09/2020","03:22:00","MANHATTAN","OUTSIDE","24","2","HOUSING","MULTI DWELL - PUBLIC HOUS","994260","229982","40.79791776","-73.96384631"
"296643609","11/15/2024","10:05:00","MANHATTAN","INSIDE","24","0","DWELLING","MULTI DWELL - APT BUILD","993634","227920","40.79227","-73.966109"
"288365032","06/11/2024","13:53:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001326","232945","40.80605","-73.938317"
"33706904","08/12/2007","02:41:00","MANHATTAN","INSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002174","234576","40.810523","-73.935252"
"16631483","05/29/2006","00:02:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1002709","229592","40.796843","-73.93333"
"47248382","06/15/2008","20:41:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002968","230059","40.798124","-73.932394"
"35920698","11/25/2007","23:00:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001305","230071","40.798161","-73.938402"
"35386256","10/30/2007","18:09:00","MANHATTAN","OUTSIDE","25","0","PLAYGROUND",,"1000558","231080",,
"73778355","07/21/2010","15:04:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001354","234575","40.810524","-73.938214"
"72752838","05/17/2010","12:44:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001768","234797","40.811131","-73.936716"
"72753928","05/17/2010","20:52:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","999001","230857","40.800322","-73.946719"
"66749918","10/12/2009","23:40:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000482","230365","40.798962","-73.941373"
"67080483","10/22/2009","16:40:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001678","230013","40.797993","-73.937051"
"64924982","08/20/2009","12:35:00","MANHATTAN","INSIDE","25","0","DWELLING","MULTI DWELL - APT BUILD","1001949","231211","40.801288","-73.936073"
"85585857","07/04/2012","23:21:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002844","230571","40.79953","-73.932839"
"85639530","07/06/2012","21:10:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000033","231677","40.80256165","-73.94299166"
"82760929","01/21/2012","23:10:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000740","231882","40.80312302","-73.94043746"
"81097107","10/09/2011","00:40:00","MANHATTAN","INSIDE","25","0","DWELLING","MULTI DWELL - APT BUILD","1001864","233389","40.807258","-73.936371"
"79299671","06/14/2011","21:36:00","MANHATTAN","OUTSIDE","25","0","STREET",,"999656","230985","40.80066296","-73.94435497"
"75726083","11/26/2010","03:10:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000327","230612","40.799647","-73.941932"
"76100885","12/21/2010","19:22:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001738","233162","40.806643","-73.936827"
"92827427","09/29/2013","01:16:00","MANHATTAN","INSIDE","25","0","COMMERCIAL","GROCERY/BODEGA","1001511","234333","40.809859","-73.937645"
"93645910","11/18/2013","22:52:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000609","232711","40.805408","-73.940908"
"171509875","11/11/2017","03:05:00","MANHATTAN","OUTSIDE","25","0","STREET",,"999399","231575","40.802293","-73.945281"
"155404911","08/01/2016","23:12:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1000805","230947","40.80055658","-73.94020499"
"143960916","06/24/2015","15:24:00","MANHATTAN","INSIDE","25","2","COMMERCIAL","GROCERY/BODEGA","1001354","234575","40.810524","-73.938214"
"139838775","11/26/2014","02:00:00","MANHATTAN","INSIDE","25","0","DWELLING","MULTI DWELL - APT BUILD","1002076","231440","40.801916","-73.935614"
"213291457","05/20/2020","02:25:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1002329","231920","40.803234","-73.934698"
"191558082","12/26/2018","19:23:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1003214","229767","40.797322","-73.931507"
"285137847","04/10/2024","15:01:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1003681","229667","40.79703748","-73.92982087"
"261958836","01/15/2023","14:35:00","MANHATTAN","OUTSIDE","25","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001768","234797","40.811123","-73.936714"
"267811916","05/05/2023","20:31:00","MANHATTAN","OUTSIDE","25","0","PARKING LOT",,"1005162","227657","40.791518","-73.924476"
"244088129","04/23/2022","22:38:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001643","232461","40.804711","-73.937173"
"228917763","05/31/2021","22:29:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001312","231864","40.80307253","-73.93837142"
"247200780","06/26/2022","21:51:00","MANHATTAN","OUTSIDE","26","0","STREET",,"997662","235571","40.813254","-73.951546"
"50163479","08/17/2008","02:07:00","MANHATTAN","OUTSIDE","26","0","STREET",,"996837","234863","40.811322","-73.954529"
"81158051","10/11/2011","08:20:00","MANHATTAN","OUTSIDE","26","0","STREET",,"996706","236248","40.81511309","-73.95500033"
"163229754","03/28/2017","13:30:00","MANHATTAN","OUTSIDE","26","2","HOUSING","MULTI DWELL - PUBLIC HOUS","995545","236005","40.814458","-73.959196"
"153021733","05/13/2016","01:04:00","MANHATTAN","OUTSIDE","26","0","STREET",,"997415","235557","40.813217","-73.95244"
"230190941","06/28/2021","19:35:00","MANHATTAN","OUTSIDE","26","2","HOUSING","MULTI DWELL - PUBLIC HOUS","996279","235478","40.813001","-73.956543"
"227127706","04/19/2021","23:51:00","MANHATTAN","OUTSIDE","26","0","STREET",,"996240","235791","40.81386","-73.956684"
"213336457","05/20/2020","18:49:00","MANHATTAN","INSIDE","26","0","DWELLING","MULTI DWELL - APT BUILD","997529","235329","40.8126","-73.952027"
"233998221","09/23/2021","19:41:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996606","232352","40.80441979","-73.95536877"
"33654457","08/09/2007","15:28:00","MANHATTAN","INSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998486","230978","40.800655","-73.948582"
"12679348","05/03/2006","03:00:00","MANHATTAN","OUTSIDE","28","0","VEHICLE","NONE","999078","233100","40.80646904","-73.94643798"
"73523969","07/05/2010","01:12:00","MANHATTAN","OUTSIDE","28","0","STREET",,"999788","233328","40.807102","-73.943874"
"47832542","06/29/2008","02:30:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998754","234371","40.809959","-73.947606"
"91399597","06/30/2013","05:22:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997257","231369","40.801721","-73.953018"
"85499229","06/29/2012","00:27:00","MANHATTAN","OUTSIDE","28","0","STREET",,"996870","232828","40.80572591","-73.95441428"
"150165507","02/06/2016","12:18:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997391","231145","40.801116","-73.952533"
"137199356","06/11/2014","22:20:00","MANHATTAN","OUTSIDE","28","0","STREET",,"998391","229755","40.7973","-73.948928"
"228425702","05/19/2021","23:22:00","MANHATTAN","OUTSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997790","230775","40.80008963","-73.95109521"
"217208403","08/27/2020","11:35:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997201","231101","40.800995","-73.953222"
"214948389","07/04/2020","18:15:00","MANHATTAN","OUTSIDE","28","0","STREET",,"997982","230071","40.798166","-73.950403"
"194859638","03/18/2019","21:33:00","MANHATTAN","OUTSIDE","28","0","STREET","MULTI DWELL - APT BUILD","995873","231986","40.803426","-73.958017"
"251361930","09/20/2022","18:13:00","MANHATTAN","OUTSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997917","231005","40.80072072","-73.95063603"
"248157447","07/17/2022","22:50:00","MANHATTAN","OUTSIDE","28","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998041","231228","40.8013326","-73.9501877"
"182973667","05/22/2018","07:10:00","MANHATTAN","INSIDE","30","0","DWELLING","MULTI DWELL - APT BUILD","999122","241535","40.829631","-73.946261"
"249908870","08/20/2022","02:58:00","MANHATTAN","OUTSIDE","30","0","STREET",,"999513","238467","40.821199","-73.944854"
"261579695","01/08/2023","01:15:00","MANHATTAN","OUTSIDE","30","0","STREET",,"999790","241169",,
"91274975","06/23/2013","01:43:00","MANHATTAN","OUTSIDE","30","0","STREET",,"999653","238976","40.822599","-73.944344"
"171990079","11/26/2017","17:15:00","MANHATTAN","OUTSIDE","30","0","STREET",,"998806","239585","40.82428","-73.947407"
"171670304","11/16/2017","23:26:00","MANHATTAN","INSIDE","30","0","DWELLING","MULTI DWELL - APT BUILD","996616","237941","40.81977","-73.955322"
"138364632","08/23/2014","03:46:00","MANHATTAN","OUTSIDE","30","0","STREET",,"995697","238142","40.820323","-73.958643"
"138181967","08/12/2014","01:57:00","MANHATTAN","OUTSIDE","30","0","STREET",,"998618","240626","40.827129","-73.948083"
"78663096","05/10/2011","23:40:00","MANHATTAN","OUTSIDE","30","0","STREET","MULTI DWELL - APT BUILD","998618","240626","40.827129","-73.948083"
"25689178","12/09/2006","22:45:00","MANHATTAN","OUTSIDE","30","0","STREET",,"999769","241772","40.83027005","-73.94392188"
"267857369","05/07/2023","01:59:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001469","241128","40.82849931186","-73.93778057105"
"33600830","08/06/2007","15:35:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1002030","242119","40.831229","-73.93575"
"24360987","09/17/2006","19:43:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998922","235604","40.813352","-73.946996"
"24577496","09/30/2006","04:55:00","MANHATTAN","OUTSIDE","32","0","STREET","MULTI DWELL - APT BUILD","1001989","240211","40.82598138","-73.93590401"
"23601896","07/28/2006","20:28:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001901","238191","40.82043723","-73.9362273"
"82393389","12/30/2011","00:09:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001748","240970","40.828075","-73.936772"
"80043944","07/28/2011","03:22:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001767","241659","40.829956","-73.936699"
"80175374","08/06/2011","23:49:00","MANHATTAN","OUTSIDE","32","0","STREET","MULTI DWELL - APT BUILD","1000301","234255","40.809646","-73.942016"
"79135861","06/05/2011","03:15:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999634","235961","40.814322","-73.94442"
"76854528","01/15/2011","23:15:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999433","236538","40.81591307653","-73.94514930665"
"92912185","10/03/2013","20:49:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999759","238463","40.821198","-73.943964"
"91572526","07/10/2013","17:29:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000064","238592","40.82154134","-73.94286339"
"89875794","03/30/2013","12:19:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000600","237701","40.81909482","-73.94092898"
"90253570","04/22/2013","17:20:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000393","239186","40.823181","-73.941673"
"84371227","04/24/2012","03:27:00","MANHATTAN","INSIDE","32","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001767","241659","40.829956","-73.936699"
"138027217","08/01/2014","15:37:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001767","241659","40.829965","-73.9367"
"184779095","07/05/2018","04:46:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000362","236345","40.815383","-73.941791"
"183583891","06/07/2018","13:12:00","MANHATTAN","INSIDE","32","0","STREET","MULTI DWELL - APT BUILD","1000964","240134","40.825781","-73.939607"
"172161396","12/01/2017","11:35:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001624","239556","40.82418431","-73.93722456"
"158064296","10/30/2016","01:07:00","MANHATTAN","INSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000457","238373","40.82095","-73.941445"
"146462812","09/26/2015","10:32:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000472","237474","40.818472","-73.94139198"
"217220154","08/30/2020","23:13:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998424","234705","40.810878","-73.948794"
"214947241","07/05/2020","02:45:00","MANHATTAN","OUTSIDE","32","0","STREET",,"997834","235324","40.81257531","-73.95092708"
"216355702","08/09/2020","04:26:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000489","236574","40.81601","-73.941334"
"210789007","03/10/2020","00:45:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001324","237153","40.817599","-73.938314"
"196000887","04/13/2019","00:01:00","MANHATTAN","OUTSIDE","32","0","STREET","BAR/NIGHT CLUB","1001405","241014","40.828197","-73.938011"
"187770307","09/18/2018","22:50:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000106","234958","40.81156695","-73.94272023"
"247366022","06/30/2022","03:38:00","MANHATTAN","OUTSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998922","235604","40.813343","-73.946995"
"242833882","03/29/2022","21:15:00","MANHATTAN","OUTSIDE","32","0","STREET","MULTI DWELL - APT BUILD","1000227","236101","40.814706","-73.942277"
"221490638","12/07/2020","19:56:00","MANHATTAN","INSIDE","32","0","DWELLING","HOSPITAL","1000688","236005","40.81444","-73.940612"
"314616793","10/16/2025","21:34:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000106","234958","40.81156695","-73.94272023"
"288867606","06/20/2024","18:20:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1001374","239100","40.82293321","-73.93812902"
"295171621","10/19/2024","20:29:00","MANHATTAN","OUTSIDE","32","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001767","241659","40.829965","-73.9367"
